JOBID,PROJECT_NAME,JOB_NAME,TARGET_OBJECT_NAME
2872,RESERVATION,ODS_EDW.RES_NCL.34.Load_CDC_Res_Air,STG_P.RES.STG_FC_AIR_STANDARD_COST_INFO_UPD
2872,RESERVATION,ODS_EDW.RES_NCL.34.Load_CDC_Res_Air,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2872,RESERVATION,ODS_EDW.RES_NCL.34.Load_CDC_Res_Air,STG_P.RES.STG_FC_AIR_GLOBALMAX_COST_INFO_UPD
2872,RESERVATION,ODS_EDW.RES_NCL.34.Load_CDC_Res_Air,STG_P.RES.STG_FC_AIR_ACTUAL_INFO_UPD
2881,RESERVATION,ODS_EDW.RES_NCL.345.Load_CDC_Acc_Coupon,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2882,RESERVATION,ODS_EDW.RES_NCL.346.Load_CDC_Client,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2883,RESERVATION,ODS_EDW.RES_NCL.35.Load_CDC_Journal_Mstr,STG_P.RES.STG_NCL_LATITUDES_CLIENT_JRN_MSTR_INFO_FMT2_UPD
2883,RESERVATION,ODS_EDW.RES_NCL.35.Load_CDC_Journal_Mstr,STG_P.RES.STG_NCL_LATITUDES_CLIENT_JRN_MSTR_INFO_FMT1
2883,RESERVATION,ODS_EDW.RES_NCL.35.Load_CDC_Journal_Mstr,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2883,RESERVATION,ODS_EDW.RES_NCL.35.Load_CDC_Journal_Mstr,STG_P.RES.STG_NCL_LATITUDES_POINTS_LOOKUP_INFO
2891,RESERVATION,ODS_EDW.RES_NCL.5.Load_DIM_Port_Master,EDW_P.RES.DIM_PORT_MASTER
2894,RESERVATION,ODS_EDW.RES_NCL.55.Load_DIM_Invoice_Item_From_Supp,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2896,RESERVATION,ODS_EDW.RES_NCL.6.Load_DIM_Cabin_Category,EDW_P.RES.DIM_CABIN_CATEGORY
2901,RESERVATION,ODS_EDW.RES_NCL.65.Load_DIM_Operator,EDW_P.RES.DIM_OPERATOR
2903,RESERVATION,ODS_EDW.RES_NCL.7.Load_DIM_Client,EDW_P.RES.DIM_CLIENT
2903,RESERVATION,ODS_EDW.RES_NCL.7.Load_DIM_Client,EDW_P.RES.DIM_CLIENT_DEL
2912,RESERVATION,ODS_EDW.RES_NCL.75.Load_DIM_Agency,EDW_P.RES.DIM_AGENCY
2934,RESERVATION,ODS_EDW.RES_NCL.8.Load_DIM_Agency_Payment,EDW_P.RES.DIM_AGENCY_PAYMENT
2939,RESERVATION,ODS_EDW.RES_NCL.8.Load_DIM_Package,EDW_P.RES.DIM_PACKAGE
2941,RESERVATION,ODS_EDW.RES_NCL.85.Load_DIM_Promotion,EDW_P.RES.DIM_PROMOTION
2943,RESERVATION,ODS_EDW.RES_NCL.9.Load_DIM_Group,EDW_P.RES.DIM_GROUP
2952,RESERVATION,ODS_EDW.RES_NCL.95.Load_DIM_Res,EDW_P.RES.DIM_RES
2962,RESERVATION,ODS_EDW.RES_OCI.0100.Load_DIM_Voyage,EDW_P.RES.DIM_VOYAGE
2965,RESERVATION,ODS_EDW.RES_OCI.0200.Load_DIM_Client,EDW_P.RES.DIM_CLIENT
2976,RESERVATION,ODS_EDW.RES_OCI.0300.Load_DIM_Agency,EDW_P.RES.DIM_AGENCY
2979,RESERVATION,ODS_EDW.RES_OCI.0400.Load_DIM_Group,EDW_P.RES.DIM_GROUP
2980,RESERVATION,ODS_EDW.RES_OCI.0500.Load_DIM_Operator,EDW_P.RES.DIM_OPERATOR
2982,RESERVATION,ODS_EDW.RES_OCI.0600.Load_DIM_Res,EDW_P.RES.DIM_RES
2985,RESERVATION,ODS_EDW.RES_OCI.0700.Load_DIM_Guest,EDW_P.RES.DIM_GUEST
2996,RESERVATION,ODS_EDW.RES_RGT.0100.Load_DIM_Voyage,EDW_P.RES.DIM_VOYAGE
2999,RESERVATION,ODS_EDW.RES_RGT.0110.Load_Voyage_Proration,EDW_P.RES.DIM_VOYAGE_PRORATION
