JOBID,PROJECT_NAME,JOB_NAME,SOURCE_OBJECT_NAME
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_VOYAGE
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_VOYAGE_PRORATION
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.VCS_ADDITIONAL_FIELD_VALUE
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_GUEST
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.AM_CODE
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_RES
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.RES_PACKAGE
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,ODS_P.RES_SW.RES_HEADER
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_VOYAGE
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_VOYAGE_PRORATION
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_RES
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_GUEST
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.CORE.MULTI_CALENDAR
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P…DIM_INVOICE_ITEM_TYPE
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.RES.DIM_VOYAGE
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,ODS_P_BUSINESS_SUPPORT.RES_SUPPORT.COMMIT_REPLACEMENT_SUPP
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,ODS_P_BUSINESS_SUPPORT.FIN_SUPP.FIN_REPORT_EXCLUSION_SUPP
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.RES.FACT_CAPACITY
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_PROMOTION
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_PACKAGE
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.FACT_CAPACITY
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_GROUP
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_GUEST
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_RES
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.CORE.MULTI_CALENDAR
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_VOYAGE
